"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"NUEVO LEON","OFICIALIA 01 DEL REGISTRO CIVIL DE GENERAL ESCOBEDO","Juárez 110, Pte. Col. Centro, General Escobedo","JUÁREZ 110, PTE COLONIA CENTRO, GENERAL ESCOBEDO","","","01 (81) 83-84-05-39"
"NUEVO LEON","OFICIALIA 02 DEL REGISTRO CIVIL ESCOBEDO","Lozano 515, Col. Residencial California, General Escobedo","LOZANO 515, COLONIA RESIDENCIAL CALIFORNIA, GENERAL ESCOBEDO","","","01 (81) 83-07-10-90"
"NUEVO LEON","OFICIALIA 03 DEL REGISTRO CIVIL ESCOBEDO","Blvd. Benito Juárez 106, Local 9, Col. Elizondo, General Escobedo","BLVD BENITO JUÁREZ 106, LOCAL 9, COLONIA ELIZONDO, GENERAL ESCOBEDO","","","01 (81) 20-20-63-29"
"NUEVO LEON","OFICIALIA 01 DEL REGISTRO CIVIL SANTA CATARINA","Constitución 112, Local 2 y 3, Zona Centro, Santa Catarina","CONSTITUCIÓN 112, LOCAL 2 Y 3, ZONA CENTRO, SANTA CATARINA","","","01 (81) 83-88-86-51"
"NUEVO LEON","OFICIALIA 02 DEL REGISTRO CIVIL SANTA CATARINA","Hidalgo 514, Col. La Fama, Santa Catarina","HIDALGO 514, COLONIA LA FAMA, SANTA CATARINA","","","01 (81) 83-36-89-93"
"NUEVO LEON","OFICIALIA 03 DEL REGISTRO CIVIL SANTA CATARINA","Av. Colosio 510, Col. Hacienda San José, Santa Catarina","AVENIDA COLOSIO 510, COLONIA HACIENDA SAN JOSÉ, SANTA CATARINA","","","01 (81) 88-01-13-05"
"NUEVO LEON","OFICIALIA 01 DEL REGISTRO CIVIL DE BENITO JUÁREZ","Ayala 307, Pte. Zona Centro, Benito Juárez","AYALA 307, PTE ZONA CENTRO, BENITO JUÁREZ","","","01 (81) 82-33-25-64"
"NUEVO LEON","OFICIALIA 02 DEL REGISTRO CIVIL BENITO JUAREZ","San Ancelmo 601, Col. Santa Mónica, segundo sector, Benito Juárez","SAN ANCELMO 601, COLONIA SANTA MÓNICA, SEGUNDO SECTOR, BENITO JUÁREZ","","","01 (81) 82-82-86-53"
"NUEVO LEON","OFICIALIA REGISTRO CIVIL DE GARCÍA","Ayala 128-A, entre Treviño e Hidalgo, García","AYALA 128-A, ENTRE TREVIÑO E HIDALGO, GARCÍA","","","01 (81) 82-83-09-85"
"NUEVO LEON","OFICIALIA DEL REGISTRO CIVIL DE SAN PEDRO","Vasconcelos 1561-B, Col. Mira Sierra, San Pedro Garza García","VASCONCELOS 1561-B, COLONIA MIRA SIERRA, SAN PEDRO GARZA GARCÍA","","","83-38-98-67"
